tipo_polinico,granos_de_polen_x_metro_cubico,fecha
Olivo,0.0,2022-04-07
Olivo,0.0,2022-04-08
Olivo,0.0,2022-04-09
Olivo,0.0,2022-04-10
Olivo,1.0,2022-04-11
Olivo,1.0,2022-04-12
Olivo,,2022-04-13
Olivo,,2022-04-14
Olivo,,2022-04-15
Olivo,,2022-04-16
Olivo,,2022-04-17
Olivo,,2022-04-18
Olivo,,2022-04-19
Olivo,0.0,2022-04-20
Olivo,0.0,2022-04-21
Olivo,0.0,2022-04-22
Olivo,0.0,2022-04-23
Olivo,0.0,2022-04-24
Olivo,0.0,2022-04-25
Olivo,2.0,2022-04-26
Olivo,0.0,2022-04-27
Olivo,1.0,2022-04-28
Olivo,1.0,2022-04-29
Olivo,1.0,2022-04-30
Olivo,2.0,2022-05-01
Olivo,0.0,2022-05-02
Olivo,1.0,2022-05-03
Olivo,0.0,2022-05-04
Olivo,,2022-05-05
Olivo,0.0,2022-05-06
Olivo,0.0,2022-05-07
Olivo,0.0,2022-05-08
Olivo,6.0,2022-05-09
Olivo,7.0,2022-05-10
Olivo,49.0,2022-05-11
Olivo,299.0,2022-05-12
Olivo,133.0,2022-05-13
Olivo,188.0,2022-05-14
Olivo,171.0,2022-05-15
Olivo,183.0,2022-05-16
Olivo,57.0,2022-05-17
Olivo,124.0,2022-05-18
Olivo,361.0,2022-05-19
Olivo,105.0,2022-05-20
Olivo,276.0,2022-05-21
Olivo,346.0,2022-05-22
Olivo,97.0,2022-05-23
Olivo,62.0,2022-05-24
Olivo,,2022-05-25
Olivo,42.0,2022-05-26
Olivo,22.0,2022-05-27
Olivo,127.0,2022-05-28
Olivo,75.0,2022-05-29
Olivo,41.0,2022-05-30
Olivo,47.0,2022-05-31
Olivo,46.0,2022-06-01
Olivo,49.0,2022-06-02
Olivo,24.0,2022-06-03
Olivo,23.0,2022-06-04
Olivo,6.0,2022-06-05
Olivo,13.0,2022-06-06
Olivo,29.0,2022-06-07
Olivo,31.0,2022-06-08
Olivo,15.0,2022-06-09
Olivo,19.0,2022-06-10
Olivo,75.0,2022-06-11
Olivo,102.0,2022-06-12
Olivo,21.0,2022-06-13
Olivo,18.0,2022-06-14
Olivo,25.0,2022-06-15
Olivo,26.0,2022-06-16
Olivo,21.0,2022-06-17
Olivo,20.0,2022-06-18
Olivo,7.0,2022-06-19
Olivo,12.0,2022-06-20
Olivo,10.0,2022-06-21
Olivo,2.0,2022-06-22
Olivo,5.0,2022-06-23
Olivo,5.0,2022-06-24
Olivo,5.0,2022-06-25
Olivo,4.0,2022-06-26
Olivo,7.0,2022-06-27
Olivo,3.0,2022-06-28
Olivo,2.0,2022-06-29
Olivo,6.0,2022-06-30
Olivo,7.0,2022-07-01
Olivo,4.0,2022-07-02
Olivo,3.0,2022-07-03
Olivo,1.0,2022-07-04
Olivo,4.0,2022-07-05
Olivo,4.0,2022-07-06
Olivo,0.0,2022-07-07
Olivo,1.0,2022-07-08
Olivo,1.0,2022-07-09
Olivo,1.0,2022-07-10
Olivo,5.0,2022-07-11
Olivo,2.0,2022-07-12
Olivo,2.0,2022-07-13
Olivo,0.0,2022-07-14
Olivo,2.0,2022-07-15
Olivo,0.0,2022-07-16
Olivo,2.0,2022-07-17
Olivo,6.0,2022-07-18
Olivo,0.0,2022-07-19
Olivo,2.0,2022-07-20
Olivo,2.0,2022-07-21
Olivo,4.0,2022-07-22
Olivo,1.0,2022-07-23
Olivo,1.0,2022-07-24
Olivo,0.0,2022-07-25
Olivo,1.0,2022-07-26
Olivo,1.0,2022-07-27
Olivo,1.0,2022-07-28
Olivo,,2022-07-29
Olivo,0.0,2022-07-30
Olivo,3.0,2022-07-31
Olivo,1.0,2022-08-01
Olivo,0.0,2022-08-02
Olivo,0.0,2022-08-03
Olivo,,2022-08-04
Olivo,,2022-08-05
Olivo,,2022-08-06
Olivo,,2022-08-07
Olivo,,2022-08-08
Olivo,0.0,2022-08-09
Olivo,2.0,2022-08-10
Olivo,0.0,2022-08-11
Olivo,0.0,2022-08-12
Olivo,1.0,2022-08-13
Olivo,0.0,2022-08-14
Olivo,0.0,2022-08-15
Olivo,,2022-08-16
Olivo,,2022-08-17
Olivo,,2022-08-18
Olivo,,2022-08-19
Olivo,,2022-08-20
Olivo,,2022-08-21
Olivo,,2022-08-22
Olivo,,2022-08-23
Olivo,,2022-08-24
Olivo,,2022-08-25
Olivo,,2022-08-26
Olivo,,2022-08-27
Olivo,,2022-08-28
Olivo,1.0,2022-08-29
Olivo,0.0,2022-08-30
Olivo,0.0,2022-08-31
Olivo,0.0,2022-09-01
Olivo,2.0,2022-09-02
Olivo,1.0,2022-09-03
Olivo,0.0,2022-09-04
Olivo,1.0,2022-09-05
Olivo,0.0,2022-09-06
Olivo,2.0,2022-09-07
Olivo,0.0,2022-09-08
Olivo,0.0,2022-09-09
Olivo,1.0,2022-09-10
Olivo,1.0,2022-09-11
Olivo,1.0,2022-09-12
Olivo,2.0,2022-09-13
Olivo,0.0,2022-09-14
Olivo,0.0,2022-09-15
Olivo,0.0,2022-09-16
Olivo,0.0,2022-09-17
Olivo,0.0,2022-09-18
Olivo,0.0,2022-09-19
Olivo,0.0,2022-09-20
Olivo,1.0,2022-09-21
Olivo,0.0,2022-09-22
Olivo,2.0,2022-09-23
Olivo,0.0,2022-09-24
Olivo,0.0,2022-09-25
Olivo,0.0,2022-09-26
Olivo,0.0,2022-09-27
Olivo,0.0,2022-09-28
Olivo,0.0,2022-09-29
Olivo,0.0,2022-09-30
Olivo,0.0,2022-10-01
Olivo,0.0,2022-10-02
Olivo,0.0,2022-10-03
Olivo,1.0,2022-10-04
Olivo,0.0,2022-10-05
Olivo,0.0,2022-10-06
Olivo,0.0,2022-10-07
Olivo,1.0,2022-10-08
Olivo,0.0,2022-10-09
Olivo,0.0,2022-10-10
Olivo,0.0,2022-10-11
Olivo,0.0,2022-10-12
Olivo,0.0,2022-10-13
Olivo,0.0,2022-10-14
Olivo,0.0,2022-10-15
Olivo,0.0,2022-10-16
Olivo,1.0,2022-10-17
Olivo,0.0,2022-10-18
Olivo,0.0,2022-10-19
Olivo,1.0,2022-10-20
Olivo,0.0,2022-10-21
Olivo,0.0,2022-10-22
Olivo,0.0,2022-10-23
Olivo,0.0,2022-10-24
Olivo,0.0,2022-10-25
Olivo,0.0,2022-10-26
Olivo,0.0,2022-10-27
Olivo,0.0,2022-10-28
Olivo,0.0,2022-10-29
Olivo,0.0,2022-10-30
Olivo,0.0,2022-10-31
Olivo,0.0,2022-11-01
Olivo,0.0,2022-11-02
Olivo,0.0,2022-11-03
Olivo,0.0,2022-11-04
Olivo,0.0,2022-11-05
Olivo,0.0,2022-11-06
Olivo,0.0,2022-11-07
Olivo,0.0,2022-11-08
Olivo,0.0,2022-11-09
Olivo,0.0,2022-11-10
Olivo,0.0,2022-11-11
Olivo,0.0,2022-11-12
Olivo,0.0,2022-11-13
Olivo,0.0,2022-11-14
Olivo,0.0,2022-11-15
Olivo,0.0,2022-11-16
Olivo,0.0,2022-11-17
Olivo,0.0,2022-11-18
Olivo,0.0,2022-11-19
Olivo,1.0,2022-11-20
Olivo,0.0,2022-11-21
Olivo,0.0,2022-11-22
Olivo,0.0,2022-11-23
Olivo,0.0,2022-11-24
Olivo,0.0,2022-11-25
Olivo,0.0,2022-11-26
Olivo,0.0,2022-11-27
Olivo,0.0,2022-11-28
Olivo,0.0,2022-11-29
Olivo,0.0,2022-11-30
Olivo,0.0,2022-12-01
Olivo,0.0,2022-12-02
Olivo,0.0,2022-12-03
Olivo,0.0,2022-12-04
