,Unnamed: 0,tipo_polinico,granos_de_polen_x_metro_cubico,fecha,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),soil_temperature_0_to_7cm (°C),cloud_cover (%),Benceno (ug/m3),CO (mg/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Tolueno (ug/m3),precip_autumn_last_year,precip_winter_last_year,temp_mean_spring_summer_last,radiation_sum_spring_summer_last,co2_mean_april_may_last,o3_mean_april_may_last,no2_mean_april_may_last,drought_days_summer_last,growing_degree_days_last,polen_last_year
41,41,Gram?neas,0.0,2021-02-11,10.125,10.445833333333333,19.804166666666667,90.45833333333331,233.875,0.0308333333333333,8.583333333333334,0.0291666666666666,0.340375,0.1241666666666666,9.329166666666667,93.5,0.6,0.3,17.0,34.0,60.0,26.0,13.0,6.0,2.0,3.5,,,,,,,,,,
42,42,Gram?neas,5.0,2021-02-12,10.758333333333333,15.995833333333332,29.7125,77.5,265.5833333333333,0.0733333333333333,6.666666666666667,0.0499999999999999,0.339375,0.3108333333333333,10.625,59.79166666666666,0.6,0.3,7.0,35.0,45.0,39.0,10.0,5.0,2.0,2.3,,,,,,,,,,
43,43,Gram?neas,9.0,2021-02-13,8.633333333333333,6.2125,12.829166666666666,72.91666666666667,258.5,0.0733333333333333,3.654166666666667,0.0,0.3127083333333333,0.3575,9.329166666666667,43.375,0.7,0.4,7.0,35.0,46.0,44.0,12.0,6.0,3.0,2.1,,,,,,,,,,
44,44,Gram?neas,3.0,2021-02-14,8.329166666666667,6.4625,12.445833333333333,74.91666666666667,91.04166666666669,0.0804166666666666,3.6875,0.0,0.3039583333333333,0.3433333333333333,8.8375,51.625,0.7,0.4,8.0,34.0,46.0,37.0,13.0,7.0,3.0,2.2,,,,,,,,,,
45,45,Gram?neas,0.0,2021-02-15,8.4125,7.866666666666667,14.533333333333331,81.29166666666667,85.75,0.07125,5.166666666666667,0.0,0.2804166666666666,0.2470833333333333,9.191666666666666,70.5,0.6,0.3,5.0,33.0,41.0,46.0,14.0,7.0,3.0,2.5,,,,,,,,,,
46,46,Gram?neas,5.0,2021-02-16,7.9875,7.8875,15.304166666666667,80.04166666666667,143.875,0.0795833333333333,4.441666666666666,0.0,0.2611666666666667,0.265,8.8375,83.41666666666667,1.0,0.4,14.0,43.0,65.0,32.0,21.0,12.0,3.0,3.4,,,,,,,,,,
47,47,Gram?neas,3.0,2021-02-17,9.516666666666667,5.158333333333333,11.358333333333334,80.04166666666667,187.54166666666663,0.07875,5.979166666666667,0.0,0.24575,0.2845833333333333,9.604166666666666,82.95833333333333,1.1,0.6,28.0,52.0,96.0,24.0,26.0,13.0,3.0,4.6,,,,,,,,,,
48,48,Gram?neas,1.0,2021-02-18,9.083333333333334,8.475,16.133333333333333,74.875,197.70833333333331,0.0854166666666666,4.345833333333333,0.0,0.22325,0.3541666666666667,8.829166666666667,54.41666666666666,1.0,0.5,44.0,51.0,118.0,20.0,78.0,23.0,3.0,5.7,,,,,,,,,,
49,49,Gram?neas,4.0,2021-02-19,9.708333333333334,7.941666666666666,15.358333333333334,68.54166666666667,173.16666666666666,0.0991666666666666,3.6208333333333336,0.0,0.2049166666666666,0.45,9.179166666666667,38.833333333333336,0.9,0.5,26.0,49.0,89.0,22.0,82.0,21.0,3.0,4.2,,,,,,,,,,
50,50,Gram?neas,5.0,2021-02-20,10.429166666666667,11.358333333333334,21.42083333333333,62.29166666666666,176.54166666666666,0.1116666666666666,2.795833333333333,0.0,0.180625,0.5637500000000001,9.691666666666666,69.83333333333333,0.7,0.3,5.0,32.0,40.0,47.0,35.0,13.0,3.0,2.2,,,,,,,,,,
51,51,Gram?neas,0.0,2021-02-21,9.379166666666666,13.204166666666666,25.33333333333333,75.16666666666667,174.04166666666666,0.0545833333333333,5.1625000000000005,0.2416666666666666,0.1710416666666666,0.2991666666666666,9.683333333333334,99.83333333333331,0.5,0.3,2.0,18.0,21.0,58.0,53.0,17.0,2.0,0.9,,,,,,,,,,
52,52,Gram?neas,0.0,2021-02-22,7.175,13.3625,24.61666666666667,73.41666666666667,250.5,0.0541666666666666,2.5541666666666667,0.0458333333333333,0.2361666666666666,0.29,8.237499999999999,75.375,0.6,0.3,6.0,36.0,46.0,48.0,7.0,2.0,3.0,1.6,,,,,,,,,,
53,53,Gram?neas,0.0,2021-02-23,7.2875,7.524999999999999,14.941666666666668,75.625,97.20833333333331,0.07625,2.829166666666667,0.0,0.2245833333333333,0.3062499999999999,8.174999999999999,16.375,0.7,0.4,13.0,44.0,64.0,33.0,11.0,5.0,3.0,2.3,,,,,,,,,,
54,54,Gram?neas,0.0,2021-02-24,8.620833333333334,10.191666666666666,18.954166666666666,76.25,92.375,0.0945833333333333,4.316666666666666,0.0,0.201375,0.3291666666666666,8.845833333333333,2.833333333333333,0.6,0.3,15.0,43.0,67.0,34.0,30.0,12.0,3.0,2.6,,,,,,,,,,
55,55,Gram?neas,0.0,2021-02-25,9.075,9.583333333333334,17.912499999999998,77.5,41.0,0.0716666666666666,5.0875,0.0,0.1827083333333333,0.2958333333333333,9.683333333333334,84.66666666666667,0.7,0.4,11.0,41.0,58.0,32.0,45.0,13.0,3.0,,,,,,,,,,,
56,56,Gram?neas,4.0,2021-02-26,9.904166666666669,8.058333333333334,15.75,73.08333333333333,39.708333333333336,0.0929166666666666,4.895833333333333,0.0,0.1691666666666666,0.38875,10.7125,93.91666666666669,0.8,0.4,13.0,45.0,65.0,33.0,45.0,13.0,3.0,,,,,,,,,,,
57,57,Gram?neas,0.0,2021-02-27,10.9,8.645833333333334,17.208333333333332,64.625,69.41666666666667,0.11125,3.7375,0.0,0.1514583333333333,0.5620833333333334,11.266666666666666,52.083333333333336,0.7,0.4,10.0,40.0,56.0,44.0,27.0,11.0,3.0,6.7,,,,,,,,,,
